cluster,authors,year,title,venue,doi_or_url,access_tag,ip_use_tag,relevance_one_liner
7-WAAM-DED,(Authors),2023,The state-of-the-art of wire arc directed energy deposition for large metallic component manufacture,(Taylor & Francis),https://www.tandfonline.com/doi/full/10.1080/0951192X.2022.2162597,OA,Cite-and-paraphrase,Comprehensive WA-DED review including process planning
7-WAAM-DED,(Authors),2026,Path optimization strategies for wire-arc AM of thin-walled parts,IJAMT,https://link.springer.com/article/10.1007/s00170-026-17736-z,Paywalled,Reference-only,Robotic vs gantry trade-offs for thin-walled WAAM
7-WAAM-DED,Biegler et al.,2020,Automated Tool-Path Generation for Rapid Manufacturing of AM DED Geometries,Steel Research International,https://onlinelibrary.wiley.com/doi/full/10.1002/srin.202000017,OA,Cite-and-paraphrase,Zig-zag and contour-parallel automated DED path with experimental validation
7-WAAM-DED,(Authors),2025,Innovative path planning for arc-based DED of multi-featured thin-walled structures,(ScienceDirect),https://www.sciencedirect.com/science/article/abs/pii/S1526612525006681,Paywalled,Reference-only,Medial axis + active decomposition + curve fitting + Bezier offset
7-WAAM-DED,Ding et al.,2015,Process planning for robotic wire and arc additive manufacturing,IEEE Conference,https://ieeexplore.ieee.org/document/7334441/,Paywalled,Reference-only,Foundational multi-direction WAAM slicing with MAT path planning
8-Build-orient,Crispo & Kim,2025,Combined topology and build orientation optimization for support structure minimization,SMO 68:216,https://link.springer.com/article/10.1007/s00158-025-04124-6,Paywalled,Reference-only,3-axis joint topology + build-orientation
8-Build-orient,Cheng & To,2019,Part-Scale Build Orientation Optimization for Minimizing Residual Stress and Support Volume,Computer-Aided Design 113,https://par.nsf.gov/servlets/purl/10105270,Author-PDF,Cite-and-paraphrase,Voxel-based residual-stress-aware orientation optimization
8-Build-orient,Chen et al.,2023,Concurrent Build Direction Part Segmentation and Topology Optimization for AM Using Neural Networks,J Mech Des 145(9),https://doi.org/10.1115/1.4062663,Paywalled,Reference-only,Neural-network joint segmentation + orientation + topology
8-Build-orient,Ezair Massarwi Elber,2015,Orientation analysis of 3D objects toward minimal support volume,Computers & Graphics 51,,Paywalled,Reference-only,Foundational orientation-vs-support tradeoff
9-Machining-paths,Hu Chen Tang,2017,Efficiency-optimal iso-planar tool path generation for five-axis finishing,Computer-Aided Design 83,,Paywalled,Reference-only,Efficiency-optimal iso-planar paths considering machine kinematics
9-Machining-paths,Lee,1998,Non-isoparametric tool path planning by machining strip evaluation for 5-axis,Computer-Aided Design 30(7),,Paywalled,Reference-only,Foundational machining strip evaluation
9-Machining-paths,Morishige et al.,1999,Tool path generation using C-space for 5-axis control machining,J Manuf Sci Eng 121,,Paywalled,Reference-only,Configuration-space planning for 5-axis machining
9-Machining-paths,Castagnetti Duc Ray,2008,The domain of admissible orientation concept for five-axis tool path optimisation,Computer-Aided Design 40,,Paywalled,Reference-only,DAO concept directly transferable to multi-axis AM nozzle orientation
9-Machining-paths,Kim Elber Bartoň,2015,Precise gouging-free tool orientations for 5-axis CNC machining,Computer-Aided Design 58,,Paywalled,Reference-only,Algorithmic gouging avoidance transferable to nozzle/layer collision
9-Machining-paths,(Authors),2020,Tool Orientation Optimization and Path Planning for 5-Axis Machining,J Sys Sci Complexity,https://link.springer.com/article/10.1007/s11424-020-9270-1,Paywalled,Reference-only,Comprehensive treatment of orientation + CC-point planning
9-Machining-paths,Mane & Pande,2019,Adaptive Tool Path Planning Strategy for 5-Axis CNC Machining of Free Form Surfaces,ASME MSEC,https://doi.org/10.1115/MSEC2019-2737,Paywalled,Reference-only,Curvature-based adaptive iso-parametric strategy
9-Machining-paths,(Authors),2022,Optimal tool path generation and cutter geometry design for 5-axis flank milling of spiral bevel gears,JCDE,https://academic.oup.com/jcde/article/9/5/2024/6713622,OA,Cite-and-paraphrase,Specialized 5-axis envelope/swept surface methods
10-Machining-IK,Sørby,2007,Inverse kinematics of five-axis machines near singular configurations,RCIM,https://www.sciencedirect.com/science/article/abs/pii/S0890695506001027,Paywalled,Reference-only,REQUIRED READING: forward/inverse kinematics + singularity handling
10-Machining-IK,Affouard et al.,2004,Avoiding 5-axis singularities using tool path deformation,IJMTM,,Paywalled,Reference-only,Foundational singularity avoidance via path deformation
10-Machining-IK,(Authors),2017,Singularities in five-axis machining: Cause effect and avoidance,RCIM,https://www.sciencedirect.com/science/article/abs/pii/S0890695516306113,Paywalled,Reference-only,Comprehensive review of 5-axis singularity behaviors
10-Machining-IK,(Authors),2023,Closed-loop inverse kinematics method around singular points,IJAMT,https://link.springer.com/article/10.1007/s00170-023-11991-0,Paywalled,Reference-only,Damped Jacobian pseudoinverse for singularity handling
10-Machining-IK,Wan et al.,2018,Singularity avoidance for five-axis machine tools through introducing geometrical constraints,IJMTM 127,,Paywalled,Reference-only,Geometric-constraint-based singularity avoidance
10-Machining-IK,Liu & Huang,2019,Inverse kinematics of a 5-axis hybrid robot with non-singular tool path generation,RCIM 56,,Paywalled,Reference-only,Hybrid-robot kinematics (delta/hexapod-style)
10-Machining-IK,Sun Sun Lee,2019,Gouge-free tool axis reorientation method for kinematics-compliant singularity avoidance,J Manuf Sci Eng 141(5),,Paywalled,Reference-only,Tool axis reorientation for kinematics compliance
10-Machining-IK,(Authors),(see ResearchGate),Generalized pseudo inverse kinematics at singularities for 5-axis postprocessor,(ResearchGate),https://www.researchgate.net/publication/284402567,Author-PDF,Reference-only,Practical postprocessor implementation
10-Machining-IK,Grandguillaume Lavernhe Tournier,2015,Kinematical smoothing of rotary axis near singularity point,HAL,https://hal.science/hal-01223135/document,OA,Cite-and-paraphrase,Smoothing rotary-axis motion near singularities
11-Hardware,Hong et al.,2022,Open5x: Accessible 5-axis 3D printing and conformal slicing,arXiv 2202.11426 / ACM CHI 2022 EA,https://arxiv.org/abs/2202.11426,Preprint,Cite-and-paraphrase,Prusa i3 retrofit + Rhino/Grasshopper slicer; OSS hardware
11-Hardware,Klappe (community),(2024+),Rep5x: Open-source 5-axis retrofit for Ender printers,GitHub,https://github.com/dennisklappe/Rep5x,Code-OSS,Code-GPL,Maker-grade 5-axis retrofit (GPL v3 - watch licensing)
11-Hardware,Generative Machine Co,2025,5-axis desktop printer with Aibuild software,(industry coverage),https://www.fabbaloo.com/news/a-better-way-to-design-a-five-axis-desktop-3d-printer,Industry,Reference-only,Commercial 5-axis desktop with closed software
11-Hardware,Fractal Robotics,2025,Fractal 5 Pro - open 5-axis printer with own slicer,(industry coverage),https://3druck.com/en/diy/fractal-robotics-introduces-open-5-axis-3d-printer-with-slicer-58149101/,Industry,Reference-only,Open-design 5-axis (Voron-based) with Python slicer
11-Hardware,Enomoto Kogyo,2017,Japan's first 5-axis hybrid 3D printer,(industry coverage),https://3dprint.com/132475/5-axis-3d-printer-japan/,Industry,Reference-only,Industry-scale 5-axis FDM+milling using existing CNC control
11-Hardware,Llewellyn-Jones Allen Trask,2016,Curved Layer Fused Filament Fabrication Using Automated Tool-Path Generation,3D Printing and AM 3,,Paywalled,Reference-only,Early curved-layer FFF on delta robot
11-Hardware,Wu Peng Guimbretière Marschner,2016,Printing Arbitrary Meshes with a 5DOF Wireframe Printer,ACM TOG (SIGGRAPH 2016) 35(4),,Paywalled,Reference-only,5-DOF wireframe printer (different paradigm but relevant hardware)
11-Hardware,Helm Willmann Thoma et al,2015,Iridescence Print: Robotically Printed Lightweight Mesh Structures,3D Printing and AM 2(3),,Paywalled,Reference-only,ETH Gramazio-Kohler robotic AM lineage
12-Software,Zhang et al.,2022,S^3-Slicer source code,GitHub,https://github.com/zhangty019/S3_DeformFDM,Code-OSS,Reference-only,Reference implementation of S^3-Slicer (check repo LICENSE)
12-Software,Dai et al.,2018,VoxelMultiAxisAM source code,GitHub,https://github.com/daichengkai/VoxelMultiAxisAM,Code-OSS,Reference-only,Companion code to Dai 2018 SIGGRAPH paper
12-Software,Zhang et al.,2023,Support_Generation_for_Curved_RoboFDM source code,GitHub,https://github.com/zhangty019/Support_Generation_for_Curved_RoboFDM,Code-OSS,Reference-only,Companion to ICRA 2023 support-generation paper
12-Software,Etienne et al.,2019,CurviSlicer source code,GitHub,https://github.com/mfx-inria/curvislicer,Code-OSS,Reference-only,Inria's open implementation of CurviSlicer (most accessible OSS in field)
12-Software,Gleadall,2021,FullControl GCode Designer,Additive Manufacturing 46:102109,https://fullcontrol.xyz/,Code-OSS,Cite-and-paraphrase,OSS framework for direct G-code design (bypass STL pipeline)
12-Software,(machipanski),2024,DED-IM source code,GitHub,https://github.com/machipanski/DED-IM,Code-OSS,Reference-only,Companion to DED-IM paper
12-Software,Aibuild,(commercial),Geodesic Slicing - Generalised Framework,(industry blog),https://www.designforam.com/p/geodesic-slicing-a-generalised-framework,Industry,Reference-only,Commercial geodesic-slicing framework
12-Software,5 Axis Slicer,(commercial),5 Axis Slicer commercial software,(commercial),https://www.5-axis-slicer.com/,Industry,Reference-only,Commercial 5-axis slicer
12-Software,ModuleWorks,(commercial),DED toolpath component,(commercial),https://www.moduleworks.com/software-components/toolpath/additive/direct-energy-deposition/,Industry,Reference-only,Commercial CAM library backend for hybrid systems
12-Software,Kuipers (Ultimaker/Prusa),2022,Arachne perimeter generator,(Prusa docs),https://help.prusa3d.com/article/arachne-perimeter-generator_352769,Code-OSS,Reference-only,Variable-width perimeter generator (3-axis precedent for adaptive line width)
12-Software,(CNC Kitchen),2022,Non-Planar 3D Printing by Bending G-Code,(blog + GitHub),https://www.cnckitchen.com/blog/non-planar-3d-printing-by-bending-g-code,Code-OSS,Reference-only,Maker-grade post-processing of planar G-code to non-planar
13-Patents,(Anonymous),2013,US20130189435A1 - Three-Dimensional Printing System Using Dual Rotation Axes,Google Patents,https://patents.google.com/patent/US20130189435A1/en,Patent,Patent-active-verify,Hardware patent on dual-rotation-axis 3D printer with turntable
13-Patents,(Anonymous),(varied),EP3117982A1 - 3D Printing System and Process,Google Patents,https://patents.google.com/patent/EP3117982A1/en,Patent,Patent-active-verify,Variable-width nozzle with continuous orientation adjustment
13-Patents,(Anonymous),2016,CN106273450A - Multi-axis multi-jet 3D printer,Google Patents,https://patents.google.com/patent/CN106273450A/en,Patent,Patent-active-verify,Chinese patent on multi-axis printer hardware
13-Patents,(Anonymous),2023,US11701813B2 - Multi-input print heads and multi-axis systems,Google Patents,https://patents.google.com/patent/US11701813B2/en,Patent,Patent-active,Multi-axis control over print-head/substrate translation/rotation
13-Patents,(Anonymous),(varied),US7291002B2 - Apparatus and methods for 3D printing,Google Patents,https://patents.google.com/patent/US7291002B2/en,Patent,Patent-active-verify,Continuous radial printing about a rotating build table (likely expired)
14-Industry,Aibuild,(ongoing),Industry leader in software for large-scale & multi-axis robotic AM,(corporate),https://ai-build.com/,Industry,Reference-only,Funder of S^3-Slicer (5AXISWORKS)
14-Industry,RAMLAB,(ongoing),WAAM systems integrator,(corporate),https://www.ramlab.com/resources/waam-101/,Industry,Reference-only,WAAM commercial systems
14-Industry,Sciaky,(ongoing),EBAM electron-beam DED pioneer,(corporate),https://www.sciaky.com/additive-manufacturing/what-is-ded-3d-printing,Industry,Reference-only,Industry pioneer in electron-beam DED
14-Industry,Phasio,2025,5 Axis Toolpath Optimisation,(industry blog),https://www.phas.io/post/5-axis-toolpath-optimisation,Industry,Reference-only,Industry overview blog
14-Industry,Generative Machine + Aibuild,2025-2026,AI-driven 5 axis desktop 3D printing collaboration,(corporate),https://ai-build.com/resources/ai-driven-5-axis-desktop-3d-printing/,Industry,Reference-only,Recent industry collaboration on 5-axis desktop systems
15-Theses,Balasubramaniam,2001,Automatic 5-axis NC toolpath generation,MIT PhD thesis,http://hdl.handle.net/1721.1/29225,Thesis,Cite-and-paraphrase,Foundational MIT thesis under Sanjay Sarma; machining algorithms transfer
15-Theses,Putta,2010,Automatic tool path generation for multi-axis machining,MIT PhD thesis,,Thesis,Cite-and-paraphrase,Follow-on to Balasubramaniam
15-Theses,Goh,2023,Point cloud processing and toolpath generation for robotic 3D printing,(thesis),,Thesis,Cite-and-paraphrase,Recent thesis on point-cloud-based toolpath generation
15-Theses,Xinyi Xiao,(recent),PhD work on automated 5-axis support-free AM process planning,Penn State,https://www.3dnatives.com/en/five-axis-additive-manufacturing-140120215/,Thesis,Cite-and-paraphrase,Penn State group's 5-axis AM process planning
15-Theses,(Harvard GSD MaP+S),2017,Brick Geometries: 5-Axis AM for Architecture,Harvard GSD,https://research.gsd.harvard.edu/maps/2017/03/24/brick-geometries-5-axis-additive-manufacturing-for-architecture/,Thesis,Cite-and-paraphrase,Architectural-design lineage of 5-axis AM
16-Adjacent,Mrazek (blog),2023,Multi-planar Slicing for 3D Printers,(blog),https://blog.honzamrazek.cz/2023/01/multi-planar-slicing-for-3d-printers-for-both-fdm-and-resin/,Industry,Reference-only,Conceptually clear walkthrough of multi-planar slicing for FDM and resin
16-Adjacent,Hackaday,2022,A Universal Non-planar Slicer For 3D Printing Is Worth Thinking About,(blog),https://hackaday.com/2022/04/23/a-universal-non-planar-slicer-for-3d-printing-is-worth-thinking-about/,Industry,Reference-only,Community discussion of non-planar slicing
16-Adjacent,Shahid,2024,Modeling of non-planar slicer for improved surface quality in MEX,arXiv 2411.07225,,Preprint,Cite-and-paraphrase,Combined planar+non-planar slicing for complex objects
16-Adjacent,(Authors),2025,Robotic FDM for free-form fabrication: adaptive non-planar slicing,Rapid Prototyping Journal,https://doi.org/10.1108/RPJ-03-2024-0109,Paywalled,Reference-only,Iso-geodesic slicing for branching geometries on robotic FDM cell
16-Adjacent,(Authors),2023,Global continuous path planning for 3D concrete printing multi-branched structure,Additive Manufacturing,https://www.sciencedirect.com/science/article/abs/pii/S221486042300194X,Paywalled,Reference-only,Adaptive global path planning for branching concrete structures
16-Adjacent,(Authors),2024,A TSP-based continuous path planning for additive manufacturing of concrete,Progress in AM,https://link.springer.com/article/10.1007/s40964-024-00746-2,Paywalled,Reference-only,TSP-based continuous path generation
16-Adjacent,(Authors),2023,Space-filling and print path generation methods for large-area 3DCP,Architectural Intelligence,https://link.springer.com/article/10.1007/s44223-023-00032-1,OA,Cite-and-paraphrase,Pavement-scale concrete printing path generation
16-Adjacent,(Authors),2025,Non-planar additive manufacturing with hydrogels: review of flow control and toolpath strategies,npj Soft Matter,https://www.nature.com/articles/s44431-025-00006-5,OA,Cite-and-paraphrase,OA review including toolpath strategies for non-planar hydrogel printing
16-Adjacent,(Authors),2025,High-Precision Multi-Axis Robotic Bioprinting,Bioengineering 12(9):949,https://www.mdpi.com/2306-5354/12/9/949,OA,Cite-and-paraphrase,Multi-axis robotic bioprinting with conformal paths
16-Adjacent,Wulle et al.,2022,Multi-axis 3D printing of gelatin methacryloyl hydrogels on non-planar surface from MRI,Additive Manufacturing 50:102566,,Paywalled,Reference-only,Patient-specific conformal multi-axis printing
16-Adjacent,(Authors),2019,Conformal additive manufacturing using a direct-print process,Additive Manufacturing,https://www.sciencedirect.com/science/article/abs/pii/S2214860419308048,Paywalled,Reference-only,Conformal printing on freeform substrates
16-Adjacent,(Authors),2022,A dynamic slicing algorithm for conformal additive manufacturing,Additive Manufacturing,https://www.sciencedirect.com/science/article/abs/pii/S2214860422000306,Paywalled,Reference-only,Optimal slicing plane perpendicular to model at each layer
